"Links","ResponseCode"
"https://www.trendyol.com/gumus-takilarda-beklenen-firsatlar/butikdetay/547299","HTTP/1.1 200 OK"
"https://www.trendyol.com/ev-tekstilinde-aradiginiz-her-sey/butikdetay/545387","HTTP/1.1 200 OK"
"https://www.trendyol.com/the-body-shop/butikdetay/547193","HTTP/1.1 200 OK"
"https://www.trendyol.com/marks--spencer---kadin--erkek--cocuk--ev-tekstil/butikdetay/543407","HTTP/1.1 200 OK"
"https://www.trendyol.com/spor-markalarinda-firsatlar/butikdetay/546028","HTTP/1.1 200 OK"
"https://www.trendyol.com/mango---kadin--erkek--cocuk-tekstil/butikdetay/545886","HTTP/1.1 200 OK"
"https://www.trendyol.com/mavi---yeni-sezon/butikdetay/546992","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?butik=545625,546867,547198","HTTP/1.1 200 OK"
"https://www.trendyol.com/tergan---ayakkabi-koleksiyonu/butikdetay/498693","HTTP/1.1 200 OK"
"https://www.trendyol.com/stradivarius---yeni-sezon/butikdetay/543517","HTTP/1.1 200 OK"
"https://www.trendyol.com/saatini-sec/butikdetay/547068","HTTP/1.1 200 OK"
"https://www.trendyol.com/vileda-urunlerinde-firsat/butikdetay/545969","HTTP/1.1 200 OK"
"https://www.trendyol.com/oysho/butikdetay/499696","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?butik=545418,545416,545421,545420,546453,546455,546454,546459,546460,546467,546473,546472,546470,546471,545891,545903,545905,545896,546760,546875","HTTP/1.1 200 OK"
"https://www.trendyol.com/aksesuarda-yilin-son-firsati/butikdetay/547208","HTTP/1.1 200 OK"
"https://www.trendyol.com/new-well/butikdetay/545687","HTTP/1.1 200 OK"
"https://www.trendyol.com/flormar/butikdetay/545620","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?butik=546236,546505","HTTP/1.1 200 OK"
"https://www.trendyol.com/avon/butikdetay/545611","HTTP/1.1 200 OK"
"https://www.trendyol.com/sr?wb=104687,1225,156,108872,108793,109833,101866,284,105984&cid=545929%2C545933%2C109833%2C545936%2C545942%2C545945%2C545950%2C545974%2C545956%2C545968%2C545960%2C545964%2C546649%2C546651%2C546024%2C545323%2C545322%2C545321%2C545320%2C545314T7042","HTTP/1.1 200 OK"
"https://www.trendyol.com/unilever-ev-bakimda-yilin-son-firsatlari/butikdetay/546005","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?siralama=4&butik=545965,545926","HTTP/1.1 200 OK"
"https://www.trendyol.com/derimod---yeni-sezon/butikdetay/545821","HTTP/1.1 200 OK"
"https://www.trendyol.com/oral-b/butikdetay/532363","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?butik=546233,546573","HTTP/1.1 200 OK"
"https://www.trendyol.com/bebek-bezi--islak-mendil--mama-cilgin-firsatlar/butikdetay/545820","HTTP/1.1 200 OK"
"https://www.trendyol.com/anne-bebek-bakim-senligi/butikdetay/546312","HTTP/1.1 200 OK"
"https://www.trendyol.com/nivea/butikdetay/547224","HTTP/1.1 200 OK"
"https://www.trendyol.com/lotto---sepette-65-indirim/butikdetay/545968","HTTP/1.1 200 OK"
"https://www.trendyol.com/lotto---sepette-65-indirim/butikdetay/545968","HTTP/1.1 200 OK"
"https://www.trendyol.com/henkel-ev-bakimda-yilin-son-firsatlari/butikdetay/546012","HTTP/1.1 200 OK"
"https://www.trendyol.com/sogutlu-silver--izla-design--elika-silver--sumer-telkari--ninova-silver/butikdetay/545548","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?butik=546091,546099","HTTP/1.1 200 OK"
"https://www.trendyol.com/49-tl-alti-urunler-saatgunes-gozlugu-koleksiyonu/butikdetay/547199","HTTP/1.1 200 OK"
"https://www.trendyol.com/cacharel---saat-koleksiyonu/butikdetay/547168","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?etiket=sari_kampanya_urunu,turuncu_kampanya_urunu,kirmizi_kampanya_urunu,siyah_kampanya_urunu&fiyat=0-49","HTTP/1.1 404 Not Found"
"https://www.trendyol.com/zamansiz-parcalar---kadin-tekstil/butikdetay/440398","HTTP/1.1 404 Not Found"
"https://www.trendyol.com/arac-gerec-karnavali/butikdetay/546318","HTTP/1.1 404 Not Found"
"https://www.trendyol.com/minikler-icin-firsatlar/butikdetay/545925","HTTP/1.1 404 Not Found"
"https://www.trendyol.com/gumus-takilarda-buyuk-indirim/butikdetay/545552","HTTP/1.1 404 Not Found"
"https://www.trendyol.com/tum--urunler?siralama=4&butik=545823,545883,545901,545850","HTTP/1.1 404 Not Found"
"https://www.trendyol.com/tarzini-aksesuarla-tamamla/butikdetay/545722","HTTP/1.1 404 Not Found"
"https://www.trendyol.com/yali-spor/butikdetay/546973","HTTP/1.1 404 Not Found"
"https://www.trendyol.com/bulldozer---yaz-koleksiyonu/butikdetay/543189","HTTP/1.1 404 Not Found"
